Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  144    0 0xffffff7f8338b000 0xa000     0xa000     com.apple.iokit.IOBluetoothSerialManager (7.0.2f4) 56C70A98-490D-3764-8CC5-0D9CD9145A4B <98 8 6 5 3 1>
  145    0 0xffffff7f82fac000 0xd000     0xd000     com.apple.driver.AppleSSE (1.0) 4B88D6ED-1F09-3553-AC20-43DD9D0997FB <33 32 31 8 6 5 3 1>
  146    0 0xffffff7f82e99000 0x6000     0x6000     com.apple.iokit.IOUserEthernet (1.0.1) 089A3A0B-33F0-3E94-84F5-44006BCEFEC0 <18 7 6 5 3 1>
  147    0 0xffffff7f82cd7000 0xa000     0xa000     com.apple.driver.AppleHV (1) E015F6A2-9B9E-3CE3-A902-D4D8FD83F192 <8 7 6 5 3 1>
  148    0 0xffffff7f836e3000 0x3000     0x3000     com.apple.private.KextAudit (1.0) C4F29451-E964-3CB4-9598-6E3E340921C1 <15 8 7 6 5 3>
  149    0 0xffffff7f824f1000 0x23000    0x23000    com.apple.iokit.IOAVBFamily (800.17) D3F5C28B-3FA0-3171-BC32-EC8C47FDFA3E <115 114 19 18 7 6 5 3 1>
  150    0 0xffffff7f816e8000 0x3000     0x3000     com.apple.AGDCPluginDisplayMetrics (4.5.21) 35D4CEC5-DA5B-3148-B085-048EF038E4C6 <130 8 7 6 5 3 1>
  151    1 0xffffff7f816ec000 0x3000     0x3000     com.apple.driver.AppleGraphicsControl (4.5.21) 0558DCE2-290A-3082-A0A5-21AFF61E92F0 <8 6 5 3 1>
  152    0 0xffffff7f816ef000 0x14000    0x14000    com.apple.driver.AppleGraphicsDevicePolicy (4.5.21) F3ED80B7-B32B-3799-9567-59EB0464B9DF <151 130 119 13 12 8 7 6 5 3 1>
  153    1 0xffffff7f826f7000 0x12000    0x12000    com.apple.kext.OSvKernDSPLib (529) 4F2906FE-2D6C-3790-B785-CF8AD7896AC8 <6 5>
  154    1 0xffffff7f82709000 0x141000   0x141000   com.apple.driver.DspFuncLib (283.15) D59C94E8-E89C-3A35-9069-A872A89C56A7 <153 73 53 52 7 6 5 3 1>
  155    0 0xffffff7f82855000 0xb7000    0xb7000    com.apple.driver.AppleHDA (283.15) 860FE6DA-65DD-3899-9ED8-AC609798A12A <154 127 120 119 118 53 7 6 5 3 1>
  156    0 0xffffff7f83105000 0x5000     0x5000     com.apple.driver.AppleUpstreamUserClient (3.6.8) 2F32EEC1-047E-39D3-8428-F73896337EE0 <119 13 12 8 6 5 3 1>
  158    0 0xffffff7f826f3000 0x2000     0x2000     com.apple.driver.AppleHDAHardwareConfigDriver (283.15) 0A1F938A-5687-3C4D-BBF4-B52146B2A64F <5 3>
  159    1 0xffffff7f82bb2000 0x7000     0x7000     com.apple.driver.X86PlatformShim (1.0.0) F90748F4-FED4-384F-96EA-EC02E59021BE <132 116 15 8 5 3>
  160    0 0xffffff7f83120000 0x21000    0x21000    com.apple.driver.AGPM (111.4.1) 8531FB26-0DCE-3075-8DAD-D4205ECFD723 <130 127 119 116 13 7 6 5 3 1>
  161    0 0xffffff7f8326e000 0x4000     0x4000     com.apple.driver.ApplePlatformEnabler (2.7.0d0) A9A264F0-CB19-3839-AFD2-BC321D665BDF <8 6 5 3>
  162    0 0xffffff7f8357b000 0x5000     0x5000     com.apple.driver.AudioAUUC (1.70) 853ADDB5-D42A-30E9-A128-63C8FDF66693 <119 53 13 12 8 6 5 3 1>
  163    1 0xffffff7f8327a000 0x5000     0x5000     com.apple.kext.triggers (1.0) 00ABDE6C-FA4A-3C46-8179-C3104C7CF7D7 <8 7 6 5 3 1>
  164    0 0xffffff7f8327f000 0x9000     0x9000     com.apple.filesystems.autofs (3.0) 9A86F30F-FF5C-3481-AF35-8A64CCBF1903 <163 8 7 6 5 3 2 1>
  165    0 0xffffff7f83f4f000 0x17000    0x17000    com.tuxera.filesystems.tuxera_ntfs (2017.12.18) 8425857F-FADB-51B7-50A3-30DB7629D80D <8 6 5 3 1>
  166    0 0xffffff7f81438000 0x18000    0x18000    com.apple.fileutil (20.036.15) 327E28CA-23D5-30D0-9741-65D7359322AF <6 5 3 2 1>
  167    1 0xffffff7f813fc000 0xf000     0xf000     com.apple.filesystems.msdosfs (1.10) 01F8BFBD-ACAC-3CB0-BBCB-170DA26D59D2 <8 6 5 1>
