Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    1 0xffffff7f82a73000 0x15000    0x15000    com.apple.driver.AppleUSBTDM (489.60.3) 76CC2A1D-001E-3B3D-A7D2-D1CD1F62BCC0 <35 30 29 28 27 21 8 7 6 5 3 1>
   37    0 0xffffff7f82f30000 0x7c000    0x7c000    com.apple.driver.AppleKeyStore (2) 6286AA24-8CFA-3511-8084-7532DFD2F09B <36 34 33 32 31 21 20 10 8 7 6 5 3 1>
   38    2 0xffffff7f816d0000 0xc000     0xc000     com.apple.driver.AppleEffaceableStorage (1.0) 9CFE1D96-820B-3199-97F9-D85A7CA182E4 <8 6 5 3 1>
   39    0 0xffffff7f83114000 0xc000     0xc000     com.apple.driver.AppleFDEKeyStore (28.30) 3961128B-F346-3120-AE9B-DE86BDE0A883 <38 10 8 7 6 5 3 1>
   40    0 0xffffff7f835d5000 0x19000    0x19000    com.apple.driver.DiskImages (493.0.0) A049740E-6E05-3096-BB37-BC4983C5B85A <28 8 7 6 5 3 1>
   41    8 0xffffff7f83a66000 0x22000    0x22000    as.vit9696.Lilu (1.4.0) D90C0A74-6E61-353E-8D57-96C781824E52 <8 6 5 3 2 1>
   42    0 0xffffff7f83a88000 0x125000   0x125000   as.vit9696.AppleALC (1.4.4) 73649D93-8D83-30C0-A5C2-78DCBE7ABCC1 <41 13 8 6 5 3 2 1>
   43    0 0xffffff7f83bad000 0x67000    0x67000    as.vit9696.WhateverGreen (1.3.5) 6ACC7CE0-CBAA-39FB-8176-054043B4EFF2 <41 13 8 6 5 3 2 1>
   44    0 0xffffff7f83c14000 0x5000     0x5000     com.alexandred.VoodooI2CServices (1) 8D02CFDB-E378-3061-8591-7E199076722D <5 3>
   45    3 0xffffff7f83c19000 0x11000    0x11000    as.vit9696.VirtualSMC (1.0.9) FEB5CDD9-665C-356B-8B65-4F2C689B6E05 <41 12 8 6 5 3 2 1>
   46    0 0xffffff7f83c2a000 0x4000     0x4000     ru.usrsse2.SMCLightSensor (1) 48D3AF4D-B99A-375E-91E5-9332E794AB81 <45 41 12 8 6 5 3 2 1>
   47    4 0xffffff7f829fe000 0x4000     0x4000     com.apple.iokit.IOSMBusFamily (1.1) F083A878-3906-34AB-9A93-DD0DE1480890 <6 5 3>
   48    0 0xffffff7f83c2e000 0xa000     0xa000     ru.usrsse2.SMCBatteryManager (1) 10BB9FD7-86F5-396D-812C-9304104B8890 <47 45 41 12 8 6 5 3 2 1>
   49    0 0xffffff7f83c38000 0x4000     0x4000     com.rehabman.driver.USBInjectAll (0.7.1) A5767EA0-3760-3131-B996-28EE85139CF5 <13 12 5 3>
   50    0 0xffffff7f83c3d000 0xa000     0xa000     fish.goldfish64.SystemProfilerMemoryFixup (1.0.0) 2A9DE676-5F0B-3C02-898F-DF98AC03F214 <41 8 6 5 3 2 1>
   51    0 0xffffff7f83c47000 0x4000     0x4000     xyz.racermaster.NoTouchID (1.0.2) E7D2E236-5A4F-3EC1-BDA8-C1352AA5025B <41 8 6 5 3 2 1>
   52    2 0xffffff7f82052000 0xac000    0xac000    com.apple.vecLib.kext (1.2.0) 1A566026-87B4-3E2C-8203-50064E6A89BD <9 7 6 5 3>
   53    7 0xffffff7f820fe000 0x3f000    0x3f000    com.apple.iokit.IOAudioFamily (300.2) D32B0EA7-182F-36D6-B66B-C9B2B51A6B74 <52 6 5 3 1>
   54    0 0xffffff7f83c4b000 0x8000     0x8000     org.tw.CodecCommander (2.6.3) 6032938E-4161-35BC-9507-DE73BFA6ABB3 <53 13 12 5 3 1>
   55    1 0xffffff7f83c5a000 0x260000   0x260000   as.acidanthera.BrcmFirmwareStore (2.5.0) E0839E7B-E8F1-30F0-9447-DDEA68AFAA0B <6 5 3>
   56    0 0xffffff7f83eba000 0x5000     0x5000     as.vit9696.SMCProcessor (1.0.9) 1A268DC3-3775-37B8-ABA2-4D8C407E6819 <45 41 12 8 6 5 3 2 1>
   57    2 0xffffff7f81013000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 318675DA-B035-3425-B868-DAADB9D7C7F2 <5 1>
   58    2 0xffffff7f81018000 0x5a000    0x5a000    com.apple.security.sandbox (300.0) 2EBA3644-52EF-3EDD-B250-51603CA24A8C <57 28 21 8 7 6 5 3 2 1>
   59    1 0xffffff7f81072000 0xc000     0xc000     com.apple.security.quarantine (4) 3E7B28CE-D31C-340D-936D-1BB305D753A6 <58 57 8 7 6 5 3 2 1>
   60    0 0xffffff7f8107e000 0xe000     0xe000     com.apple.AppleSystemPolicy (2.0.0) C5D44867-DACA-3A80-8352-3278C43C31E4 <59 58 21 8 7 6 5 3 2 1>
   61    0 0xffffff7f835d2000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 70F80873-7EC1-38B7-8C05-7A3A0CE7A2B2 <8 7 6 5 2 1>
   62    0 0xffffff7f836ab000 0xa000     0xa000     com.apple.nke.applicationfirewall (303) D48DDD91-E928-3736-96C5-28852DA1E757 <8 7 6 5 3 1>
   63    0 0xffffff7f836ca000 0x10000    0x10000    com.apple.security.AppleImage4 (1) 6EC892AE-3384-3630-B932-EA2E1815A392 <10 8 7 5 3 1>
   64    0 0xffffff7f8372a000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) FA8CD390-B305-3C89-8E09-3DE05DF60848 <13 5 3>
   65    0 0xffffff7f82e93000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) EAAED78A-057E-33B0-B543-A573859220D1 <8 5 3>
   66    0 0xffffff7f8268a000 0x8000     0x8000     com.apple.driver.AppleRTC (2.0) 16FEDED1-24B9-373E-AD7F-6B1EA6A7BBC0 <12 8 6 5 3 1>
   67    3 0xffffff7f83ebf000 0xb000     0xb000     org.rehabman.voodoo.driver.PS2Controller (1.9.2) E11711CB-AFEA-384E-97B8-B8EECB515995 <12 8 6 5 3 1>
   68    7 0xffffff7f80ca6000 0x9f000    0x9f000    com.apple.iokit.IOHIDFamily (2.0.0) 9A2A89A2-62FE-373E-8520-F6BBCBE4CB6A <17 8 7 6 5 3 2 1>
   69    0 0xffffff7f82b51000 0x8000     0x8000     com.apple.driver.AppleACPIEC (6.1) E81AA679-0FF7-3459-A68A-029DBB04CF29 <68 47 17 16 12 8 7 6 5 3 1>
   70    0 0xffffff7f82b5c000 0x4000     0x4000     com.apple.driver.AppleACPIButtons (6.1) 682FCE33-42BF-3D3F-94BE-72AD4DFCAD5C <68 17 16 12 8 7 6 5 3 1>
   71    0 0xffffff7f833eb000 0x3000     0x3000     com.apple.driver.AppleHPET (1.8) D0E21584-7AE5-31DD-A3BF-7FED14E1FA98 <12 8 6 5 3>
   72    2 0xffffff7f81292000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) 27F49AE3-415B-3D52-B902-E5F68F27C5B5 <8 7 6 5 3>
   73    2 0xffffff7f81297000 0xe000     0xe000     com.apple.driver.AppleEFINVRAM (2.1) 07910380-1296-307C-A25B-FDB9D2DEBDDE <72 8 7 6 5 3 1>
   74    0 0xffffff7f82a02000 0xd000     0xd000     com.apple.driver.AppleSmartBatteryManager (161.0.0) A729D46F-64A8-3184-9D66-3F40795691CD <47 15 12 6 5 3 1>
   75    1 0xffffff7f814f1000 0x58000    0x58000    com.apple.driver.usb.AppleUSBXHCI (1.2) 05F64136-2809-3A7D-9D64-0E70113E6963 <27 25 12 8 7 6 5 3 1>
   76    0 0xffffff7f81620000 0x32000    0x32000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) C9E5A322-F99B-3215-A4E5-A7D5F9EC0B19 <75 27 25 13 12 8 7 6 5 3 1>
   77    0 0xffffff7f82e45000 0xb000     0xb000     com.apple.driver.AppleIntelLpssGspi (3.0.60) 5B223BDB-F6CE-3E13-9BDD-707E8B195E68 <13 12 8 6 5 3>
   78    2 0xffffff7f82c1d000 0x1b000    0x1b000    com.apple.iokit.IOAHCIFamily (290.0.1) 1348CB77-02A5-333C-BD2D-2E33F6B182FA <6 5 3 1>
   79    0 0xffffff7f835b7000 0x10000    0x10000    com.apple.driver.AppleAHCIPort (341.0.2) 88595605-79AD-3D24-976F-549A1BC6D2E9 <78 13 6 5 3 1>
   80    2 0xffffff7f818a8000 0x2d000    0x2d000    com.apple.driver.corecapture (1.0.4) 5C346ED2-633E-32C2-8BD8-604F7D238B2B <8 7 6 5 3 1>
   81    1 0xffffff7f818de000 0x7000     0x7000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) B4FB627F-39E6-3C9E-9F5B-4E39F4655A47 <18 5 3 1>
   82    2 0xffffff7f80da4000 0x45000    0x45000    com.apple.iokit.IOSkywalkFamily (1) 402D50B6-F30F-38C5-A7ED-610AA11F2791 <18 8 7 6 5 3 1>
   83    1 0xffffff7f818e5000 0x15e000   0x15e000   com.apple.iokit.IO80211Family (1200.12.2b1) 132F9432-4A72-3A24-A7FD-33F5E1FF284F <82 80 21 18 10 8 7 6 5 3 1>
   84    0 0xffffff7f81a51000 0x586000   0x586000   com.apple.driver.AirPort.Brcm4360 (1400.1.1) EE391A05-3D7C-390C-B973-C688324B59D6 <83 81 80 18 13 8 7 6 5 3 1>
   85    0 0xffffff7f82c48000 0x28000    0x28000    com.apple.iokit.IOAHCIBlockStorage (316.40.3) 482BE005-DE90-3BA3-80BC-68C59FE8ED40 <78 73 28 7 6 5 3 1>
   86    0 0xffffff7f83eca000 0x7000     0x7000     org.rehabman.driver.FakePCIID (1.3.15) B185B092-1FC9-308E-B093-32FD88E5822D <13 8 6 5 3 1>
   87    0 0xffffff7f83ed1000 0x67000    0x67000    com.insanelymac.RealtekRTL8111 (2.2.1) 07D64653-7867-3C3A-837B-E491B33C21B7 <18 13 6 5 3 1>
   88    0 0xffffff7f82ea5000 0xa000     0xa000     com.apple.driver.AppleXsanScheme (3) 3ED8C0A1-974C-3DC8-A68A-AD8B69628CA8 <28 6 5 3 1>
   89    1 0xffffff7f81741000 0x125000   0x125000   com.apple.filesystems.apfs (1412.61.1) BFCAECB1-348B-3C39-AAAE-B162D45A401B <38 28 10 8 7 6 5 3 1>
   90    1 0xffffff7f812a5000 0x9a000    0x9a000    com.apple.iokit.IOUSBFamily (900.4.2) C1E9B219-D8AB-3481-A8A0-5FB35A046DE5 <27 25 13 8 6 5 3 1>
   91    0 0xffffff7f8161a000 0x6000     0x6000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 591265D8-9E10-3E19-B8FA-476F0F5DF249 <27 25 8 7 6 5 3 1>
   92    1 0xffffff7f8138d000 0x5000     0x5000     com.apple.filesystems.hfs.encodings.kext (1) ADC2D814-3FCD-307F-8999-F8153470A160 <8 7 6 5 3 1>
   93    0 0xffffff7f81429000 0xc000     0xc000     com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) 87B48606-2D26-3060-AB56-A56791138013 <7 5 3 2 1>
   94    2 0xffffff7f821b7000 0x2e000    0x2e000    com.apple.iokit.IOSurface (269.6) 640503DC-6033-3EF6-85F4-F48282EF48DD <8 7 6 5 3 1>
   95    0 0xffffff7f82516000 0xe000     0xe000     com.apple.BootCache (40) B29D4198-A697-3B44-9E1B-7D9AF10A2196 <8 7 6 5 3 1>
   96    0 0xffffff7f82e8c000 0x3000     0x3000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) 10CAB561-87CB-345E-BBAA-DC4AE5176AE4 <8 7 5 3 2 1>
   97    1 0xffffff7f833f0000 0x63000    0x63000    com.apple.filesystems.hfs.kext (522.0.9) 763EFD24-D175-3CC5-81AE-43D0AC1D93C6 <92 8 7 6 5 3 1>
   98    2 0xffffff7f8333f000 0xe000     0xe000     com.apple.iokit.IOSerialFamily (11) 69C807EC-80A5-31E1-A9B7-910294286361 <8 7 6 5 3 1>
   99    0 0xffffff7f8362c000 0x1b000    0x1b000    com.apple.driver.AppleVirtIO (1.0) 4EF1C7AF-607D-331E-B0CA-3006E0ABF324 <98 53 28 18 13 6 5 3 1>
  100    0 0xffffff7f80c95000 0x2000     0x2000     com.apple.driver.AppleFileSystemDriver (3.0.1) 5C671FD8-5EC3-3E27-AEE5-3EFC9BEAF81B <28 5 3>
  101    0 0xffffff7f83f38000 0xc000     0xc000     org.rehabman.voodoo.driver.PS2Trackpad (1.9.2) 172C5C14-5D31-3BE0-A947-59A4F3938B90 <68 67 17 8 7 6 5 3 1>
